#M <gameid> <playerid> <tick num> <winner>
#P <x> <y> <planetid> <owner_id> <num_ships> <growth_rate>
#F <fleetid> <ownerid> <.num_ships> <source> <destination> <progress>
M 1 0 0 0
P 11.6135908004 11.6587374197 1 0 119 0
P 1.2902863101 9.04078582767 2 1 100 5
P 21.9368952907 14.2766890117 3 2 100 5
P 5.64835767563 18.2659924733 4 0 21 4
P 17.5788239251 5.05148236609 5 0 21 4
P 0.0 17.5664628114 6 0 32 2
P 23.2271816008 5.75101202793 7 0 32 2
P 15.9964071303 22.4925373322 8 0 60 5
P 7.23077447046 0.824937507164 9 0 60 5
P 12.096860926 23.3174748393 10 0 74 5
P 11.1303206747 0.0 11 0 74 5
P 5.90572926007 2.48227346488 12 0 85 1
P 17.3214523407 20.8352013745 13 0 85 1
P 18.2860133478 0.765777669475 14 0 72 3
P 4.94116825299 22.5516971699 15 0 72 3
P 20.1067105381 18.0593851211 16 0 9 5
P 3.12047106262 5.25808971821 17 0 9 5
P 4.594838746 13.7860000656 18 0 69 2
P 18.6323428548 9.5314747737 19 0 69 2
P 8.80119206169 20.0157034284 20 0 41 1
P 14.4259895391 3.30177141098 21 0 41 1
P 19.4667873213 20.0561682576 22 0 35 5
P 3.76039427948 3.26130658173 23 0 35 5
