#M <gameid> <playerid> <tick num> <winner>
#P <x> <y> <planetid> <owner_id> <num_ships> <growth_rate>
M 2 0 0 0
P 11.0145481174 9.36285648301 1 0 104 4
P 5.5184459719 18.725712966 2 1 100 5
P 16.5106502628 0.0 3 2 100 5
P 18.5712990177 14.3741959599 4 0 53 1
P 3.45779721706 4.35151700608 5 0 53 1
P 10.5636234361 5.15752021861 6 0 13 3
P 11.4654727987 13.5681927474 7 0 13 3
P 1.12251825005 14.3274446064 8 0 23 1
P 20.9065779847 4.39826835964 9 0 23 1
P 2.73522060259 10.8972414257 10 0 43 5
P 19.2938756321 7.82847154034 11 0 43 5
P 19.9403815313 3.91375222177 12 0 40 1
P 2.08871470338 14.8119607443 13 0 40 1
P 10.6549370553 7.39366289672 14 0 19 4
P 11.3741591795 11.3320500693 15 0 19 4
P 16.3876435734 16.2850057716 16 0 84 5
P 5.64145266134 2.44070719444 17 0 84 5
P 7.88508724481 13.891296624 18 0 6 3
P 14.1440089899 4.83441634197 19 0 6 3
P 3.85997265841 0.272837321532 20 0 72 3
P 18.1691235763 18.4528756445 21 0 72 3
P 0.0 11.4215292717 22 0 61 2
P 22.0290962347 7.30418369437 23 0 61 2
